DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2017,2,receive,6150000.00,11:04:47 AM,D_MMA
R12_04_LTN,2015,7,receive,6122040.00,1:13:52 PM,D_SSM
R12_04_LTN,2014,9,receive,6120726.98,1:07:56 PM,D_DNS
R12_04_LTN,2016,10,receive,6094896.38,3:59:47 PM,D_MMA
R12_04_LTN,2013,5,receive,6078995.00,2:21:17 PM,D_DNS
R12_04_LTN,2016,11,receive,6070061.40,4:59:42 PM,D_MMA
R12_04_LTN,2014,6,receive,6046172.00,3:15:52 PM,D_DNS
R12_04_LTN,2014,9,receive,6036469.16,1:07:56 PM,D_DNS
R12_04_LTN,2015,2,receive,6021951.00,2:08:48 PM,D_DNS
R12_04_LTN,2015,6,receive,5998205.00,1:11:07 PM,D_SSM
R12_04_LTN,2014,8,receive,5966571.00,1:25:23 PM,D_DNS
R12_04_LTN,2016,7,receive,5902178.00,3:54:56 PM,D_MMA
R12_04_LTN,2015,4,receive,5868015.00,11:46:47 AM,D_SSM
R12_04_LTN,2017,5,receive,5868000.00,6:37:45 PM,D_MMA
R12_04_LTN,2015,8,receive,5858929.34,1:18:09 PM,D_SSM
R12_04_LTN,2013,7,receive,5857723.05,2:27:58 PM,D_DNS
R12_04_LTN,2014,4,receive,5845000.00,3:15:12 PM,D_DNS
R12_04_LTN,2015,4,receive,5820000.00,11:46:47 AM,D_SSM
R12_04_LTN,2014,10,receive,5800000.00,3:26:20 PM,D_DNS
R12_04_LTN,2014,11,receive,5791537.51,12:26:18 PM,D_DNS
R12_04_LTN,2014,11,receive,5791537.51,12:26:18 PM,D_DNS
R12_04_LTN,2017,2,receive,5754450.00,11:04:47 AM,D_MMA
R12_04_LTN,2014,12,receive,5736160.00,3:01:23 PM,D_DNS
R12_04_LTN,2013,11,receive,5722867.00,5:38:08 PM,D_DNS
R12_04_LTN,2016,7,receive,5684541.60,3:54:56 PM,D_MMA
R12_04_LTN,2016,11,receive,5677080.00,4:59:42 PM,D_MMA
R12_04_LTN,2016,1,receive,5647235.00,1:27:44 PM,D_SSM
R12_04_LTN,2013,4,receive,5621935.00,3:21:02 PM,D_DNS
R12_04_LTN,2013,5,receive,5581825.00,2:21:17 PM,D_DNS
